Device,Kernel,M,N,K,Total Problem Size (KiB),sparsity,Iterations,Total Seconds,GFLOP/s
cpu,sgemm,1,1,1,0.012,0.99000001,2,0.00942,0.000
gpu_offloadOnce,sgemm,1,1,1,0.012,0.99000001,2,0.06214,0.000
gpu_offloadAlways,sgemm,1,1,1,0.012,0.99000001,2,0.00016,0.000
gpu_unified,sgemm,1,1,1,0.012,0.99000001,2,0.05244,0.000
cpu,sgemm,2,2,2,0.047,0.99000001,2,0.00002,0.002
gpu_offloadOnce,sgemm,2,2,2,0.047,0.99000001,2,0.04628,0.000
gpu_offloadAlways,sgemm,2,2,2,0.047,0.99000001,2,0.00023,0.000
gpu_unified,sgemm,2,2,2,0.047,0.99000001,2,0.04753,0.000
cpu,sgemm,3,3,3,0.105,0.99000001,2,0.00001,0.010
gpu_offloadOnce,sgemm,3,3,3,0.105,0.99000001,2,0.00024,0.001
gpu_offloadAlways,sgemm,3,3,3,0.105,0.99000001,2,0.00019,0.001
gpu_unified,sgemm,3,3,3,0.105,0.99000001,2,0.00085,0.000
cpu,sgemm,4,4,4,0.188,0.99000001,2,0.00001,0.032
gpu_offloadOnce,sgemm,4,4,4,0.188,0.99000001,2,0.00016,0.002
gpu_offloadAlways,sgemm,4,4,4,0.188,0.99000001,2,0.00019,0.002
gpu_unified,sgemm,4,4,4,0.188,0.99000001,2,0.00068,0.000
cpu,sgemm,5,5,5,0.293,0.99000001,2,0.00001,0.065
gpu_offloadOnce,sgemm,5,5,5,0.293,0.99000001,2,0.00019,0.003
gpu_offloadAlways,sgemm,5,5,5,0.293,0.99000001,2,0.00019,0.003
gpu_unified,sgemm,5,5,5,0.293,0.99000001,2,0.00068,0.001
cpu,sgemm,6,6,6,0.422,0.99000001,2,0.00001,0.119
gpu_offloadOnce,sgemm,6,6,6,0.422,0.99000001,2,0.00018,0.005
gpu_offloadAlways,sgemm,6,6,6,0.422,0.99000001,2,0.00019,0.005
gpu_unified,sgemm,6,6,6,0.422,0.99000001,2,0.00073,0.001
cpu,sgemm,7,7,7,0.574,0.99000001,2,0.00001,0.188
gpu_offloadOnce,sgemm,7,7,7,0.574,0.99000001,2,0.00018,0.008
gpu_offloadAlways,sgemm,7,7,7,0.574,0.99000001,2,0.00019,0.008
gpu_unified,sgemm,7,7,7,0.574,0.99000001,2,0.00070,0.002
cpu,sgemm,8,8,8,0.750,0.99000001,2,0.00001,0.254
gpu_offloadOnce,sgemm,8,8,8,0.750,0.99000001,2,0.11658,0.000
gpu_offloadAlways,sgemm,8,8,8,0.750,0.99000001,2,0.00022,0.010
gpu_unified,sgemm,8,8,8,0.750,0.99000001,2,0.11591,0.000
cpu,sgemm,9,9,9,0.949,0.99000001,2,0.00001,0.268
gpu_offloadOnce,sgemm,9,9,9,0.949,0.99000001,2,0.00031,0.010
gpu_offloadAlways,sgemm,9,9,9,0.949,0.99000001,2,0.00030,0.010
gpu_unified,sgemm,9,9,9,0.949,0.99000001,2,0.00085,0.004
cpu,sgemm,10,10,10,1.172,0.99000001,2,0.00001,0.377
gpu_offloadOnce,sgemm,10,10,10,1.172,0.99000001,2,0.00024,0.018
gpu_offloadAlways,sgemm,10,10,10,1.172,0.99000001,2,0.00024,0.018
gpu_unified,sgemm,10,10,10,1.172,0.99000001,2,0.00072,0.006
cpu,sgemm,11,11,11,1.418,0.99000001,2,0.00001,0.529
gpu_offloadOnce,sgemm,11,11,11,1.418,0.99000001,2,0.00028,0.020
gpu_offloadAlways,sgemm,11,11,11,1.418,0.99000001,2,0.00024,0.023
gpu_unified,sgemm,11,11,11,1.418,0.99000001,2,0.00070,0.008
cpu,sgemm,12,12,12,1.688,0.99000001,2,0.00001,0.642
gpu_offloadOnce,sgemm,12,12,12,1.688,0.99000001,2,0.00023,0.031
